Rainfall (inch/month)																																									
Year Month	WBA10	WBA11	WBA12	WBA13	WBA14	WBA15N	WBA15S	WBA16	WBA17N	WBA17S	WBA18	WBA19	WBA2	WBA20	WBA21	WBA22	WBA23	WBA24	WBA25	WBA26N	WBA26S	WBA3	WBA4	WBA5	WBA6	WBA60N	WBA60S	WBA61	WBA62	WBA63	WBA64	WBA70	WBA71	WBA72	WBA73	WBA7N	WBA7S	WBA8N	WBA8S	WBA9	WBA90
1923  10	0.6042	0.5999	0.6921	0.8888	0.8475	0.6463	0.6183	0.5909	0.6221	0.5904	0.5778	0.5457	1.4267	0.5880	0.5575	0.5592	0.5783	0.7396	0.5305	0.6036	0.5727	1.5131	0.6791	0.6187	0.5792	0.2548	0.3061	0.6941	0.1724	0.2168	0.5537	2.3177	1.0274	0.0912	0.1045	0.5589	0.6211	0.5531	0.5543	0.5477	0.1932
1923  11	0.7639	0.7454	0.9159	1.1737	1.1299	0.8617	0.8244	0.7878	0.5863	0.6825	0.6305	0.7183	0.6111	0.9651	0.6013	0.6262	0.7499	0.9320	0.8866	0.6453	0.6125	0.6073	0.4809	0.6353	0.2606	0.4185	0.4327	0.7437	0.4850	0.2422	0.1656	0.9462	0.6413	0.1688	0.1308	0.2775	0.6716	0.4749	0.5693	0.5766	0.0369
1923  12	2.0065	1.4922	1.4208	1.8786	1.5604	1.1900	1.1385	1.0879	0.9212	0.9915	0.9349	0.9965	1.4711	1.0096	0.9045	0.9300	1.0471	1.3166	0.9283	0.9783	0.9285	1.5743	0.7303	1.4883	0.8977	0.9782	0.9224	1.5354	1.2470	0.6638	0.5923	0.9250	1.0411	0.5352	0.4439	0.8637	0.9494	0.9818	0.8487	1.1567	0.4873
1924  01	3.4202	2.9957	3.2057	4.1607	3.7799	2.8826	2.7578	2.6354	2.6321	2.5252	2.4950	2.3868	2.9845	3.8521	1.7615	1.8816	2.4706	3.0209	3.6399	1.8733	1.7824	2.8692	3.2277	3.2675	2.6739	2.0725	1.6829	0.9849	1.0405	1.8684	1.6315	1.8818	1.2302	1.2116	1.1515	2.5607	2.9288	2.5157	2.4470	2.5858	0.7265
1924  02	5.3470	3.9912	3.9826	5.2466	4.4391	3.3852	3.2387	3.0950	2.0340	2.5475	2.3223	2.7917	3.2284	2.4672	1.9295	2.1211	2.8856	3.5075	2.3127	2.0815	1.9769	3.3419	2.0079	3.9644	1.6217	1.3639	1.3551	1.8389	1.3083	0.3344	0.4287	1.2758	1.2043	0.1607	0.0847	1.5928	2.1457	2.2014	1.9522	2.8389	0.6348
1924  03	1.7557	1.7224	2.0198	2.5934	2.4751	1.8875	1.8058	1.7257	1.6391	1.6215	1.5852	1.5607	1.0512	1.1051	1.1420	1.2409	1.6193	1.9821	0.9803	1.2385	1.1750	1.0247	1.2566	1.5414	1.5252	1.0039	0.6918	0.9333	1.0140	1.8211	1.9410	1.6054	1.2616	1.9012	1.8148	1.4719	1.5431	1.4794	1.4488	1.4939	4.7771
1924  04	0.4788	0.3286	0.3138	0.4174	0.3363	0.2565	0.2454	0.2345	0.0957	0.1803	0.1424	0.2216	0.2572	0.5367	0.2922	0.2763	0.2391	0.3181	0.5065	0.3122	0.2965	0.2433	0.3059	0.4028	0.2606	0.2074	0.1854	0.2347	0.0315	0.1129	0.5364	0.9569	0.4229	0.1485	0.1673	0.2364	0.1915	0.1819	0.1260	0.2042	0.6063
1924  05	0.0000	0.0467	0.1130	0.1381	0.1614	0.1231	0.1178	0.1125	0.0239	0.0724	0.0557	0.1006	0.0396	0.0323	0.0573	0.0672	0.1032	0.1231	0.0364	0.0624	0.0594	0.0435	0.0222	0.0092	0.0483	0.0407	0.1003	0.2345	0.0022	0.0000	0.0043	0.9569	0.3960	0.0000	0.0000	0.0442	0.0259	0.0247	0.0299	0.0138	0.0905
1924  06	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0640	0.2189	0.0020	0.0007	0.0000	0.8931	0.3715	0.0095	0.0089	0.0000	0.0000	0.0000	0.0000	0.0000	0.0020
1924  07	0.0000	0.0171	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1196	0.0464	0.0688	0.0000	0.0000	0.0058	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0708	0.2423	0.0023	0.0000	0.0000	0.9888	0.4092	0.0000	0.0000	0.0100	0.0964	0.0619	0.0899	0.0692	0.0000
