Rainfall (inch/month)																																									
Year Month	WBA10	WBA11	WBA12	WBA13	WBA14	WBA15N	WBA15S	WBA16	WBA17N	WBA17S	WBA18	WBA19	WBA2	WBA20	WBA21	WBA22	WBA23	WBA24	WBA25	WBA26N	WBA26S	WBA3	WBA4	WBA5	WBA6	WBA60N	WBA60S	WBA61	WBA62	WBA63	WBA64	WBA70	WBA71	WBA72	WBA73	WBA7N	WBA7S	WBA8N	WBA8S	WBA9	WBA90
1924  05	0	0.04668409	0.112969016	0.138121763	0.161420299	0.123099196	0.117771765	0.112545288	0.023934376	0.072356808	0.055682137	0.100600416	0.039568861	0.032287102	0.05725751	0.067222177	0.10317094	0.123052675	0.036358576	0.062443555	0.059390575	0.043454707	0.022179026	0.009245641	0.048265512	0.04071398	0.100333512	0.234515392	0.002193515	0	0.004289384	0.956856445	0.395970584	0	0	0.044197586	0.025869916	0.024732005	0.029947597	0.013839101	0.090500851
1924  06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063985941	0.21886752	0.00204728	0.000650574	1.65188E-05	0.893066016	0.371495509	0.00948661	0.008882578	0	0	0	0	0	0.002032602
1924  07	0	0.017140248	0	0	0	0	0	0	0.119631412	0.046448269	0.068782713	0	0	0.005776016	0	0	0	0	0	0	0	0	0	0	0	0	0.070841577	0.242317612	0.002266632	0	0	0.98875166	0.409169603	0	0	0.009952577	0.09636893	0.061912351	0.08986915	0.069195505	0
1924  08	0.079805614	0.037467435	0.013074454	0.021615166	0	0	0	0	0	0	0	0	0.211035989	0	0	0	0	0	0	0	0	0.223048431	0.076992718	0.074941186	0	0	0.068556365	0.234500915	0.002193515	0.005855167	0.000148669	0.956856445	0.413277261	0.085379486	0.079943202	8.1461E-05	0	0.010954067	0	0.024815308	0.018293421
1924  09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065509416	0.224078652	0.002096025	0	0	0.914329492	0.378371891	0	0	0	0	0	0	0	0.090420482
1924  10	5.130360877	4.3297093	4.568478158	5.947564576	5.326869876	4.062273457	3.886468257	3.71399451	3.445651733	3.426984782	3.364486739	3.331432017	5.016120101	3.156442588	2.033831903	2.311740434	3.421239937	4.103088813	2.813108755	2.185524411	2.073903516	5.054816999	4.073981652	4.618215842	3.561994807	0.986439921	1.163065612	2.3321124	1.800859148	1.193590384	1.63615618	2.222033301	1.77452472	0.542697737	0.473991566	3.406752816	3.429141719	3.398661426	3.108055724	3.588100341	0.468642911
1924  11	2.63358525	2.059795432	2.201304907	2.877208104	2.528918022	1.928554065	1.845090991	1.763209515	1.016993793	1.426512812	1.241487369	1.618297005	4.580333787	1.163294459	1.521861692	1.559110643	1.706255573	2.157224048	1.109179986	1.654754197	1.570746705	4.95289503	1.422980753	2.105891704	0.830166811	1.289074067	0.939133257	1.063722309	1.093152279	1.404880129	1.217524186	1.148227734	0.930265203	0.666317783	0.6112249	0.813246734	1.053384222	1.100151204	0.988942299	1.407066957	0.611802682
1924  12	6.646667536	5.939141388	6.520842112	8.441589324	7.761626057	5.919019658	5.662859051	5.411552606	5.156502993	5.084429521	4.980457246	4.889520488	4.084498545	4.358830234	3.4990123	3.812178017	5.063854352	6.179709104	4.201614872	3.777835053	3.592828625	4.009344377	4.475486076	5.714317308	5.038919483	3.263482166	3.284623981	3.371703584	2.760343465	2.139303888	1.769009501	3.136362793	2.711065192	1.607441377	1.3988643	4.842158792	5.047436371	4.870031094	4.61286424	5.049086912	2.360703573
1925  01	0.912064156	1.144685655	1.429737848	1.812410451	1.829430059	1.395124218	1.334746674	1.275513266	1.579226358	1.350710774	1.383088544	1.162785383	2.737295642	1.027813887	0.980004124	1.026509015	1.216300941	1.514590204	0.923734131	1.061540428	1.007596943	2.964872703	0.954278655	0.909753291	0.897738529	0.827304946	0.592116554	0.682699928	0.59520981	1.049737649	0.827657516	1.477811621	0.979198709	1.184367438	1.112200874	0.917356517	1.47590987	1.172133724	1.358855581	1.196984183	0.719897064
1925  02	9.154843964	7.614703835	7.71312256	10.07626531	8.87811646	6.770455761	6.477447095	6.189990849	6.544283346	6.086641512	6.068322075	5.612168895	15.43993297	5.282810546	4.288302112	4.592385404	5.833474728	7.173756542	4.744964825	4.631230299	4.395289588	16.26619414	8.173685367	8.58728262	7.317051663	2.721979755	2.158885308	2.9226076	2.45042668	1.971458566	1.747016761	2.572880664	2.369645538	1.722139063	1.533485339	6.952342625	6.359434569	6.5153831	5.777532987	6.631664449	1.816865442
